RULE_ID,FIELD_NAME,CATEGORY,SEVERITY,BLOCKED_PROCESSES,ALLOWED_PROCESSES,REMEDIATION_ACTION,EVIDENCE_REQUIRED
R_MISSING_TAG,tag_id,IDENTITAS,CRITICAL_FOR_FINALIZATION,FINAL_IDENTIFICATION;MERGE,SAVE_DRAFT;RECORD_OBSERVATION,Lengkapi eartag final,Foto eartag terpasang
R_MISSING_BIRTH_DATE,birth_date,TANGGAL_LAHIR,CONDITIONALLY_REQUIRED,AGE_CATEGORY;AGE_BASED_ADG;BREEDING_ELIGIBILITY,SAVE_DRAFT;RECORD_WEIGHT,Lengkapi tanggal lahir/estimasi,Catatan lahir / konfirmasi
R_MISSING_GENDER,gender,JENIS_KELAMIN,CRITICAL_FOR_FINALIZATION,BREEDING_ROLE;GENERATION_RULES,SAVE_DRAFT;RECORD_HEALTH,Lengkapi jenis kelamin,Pemeriksaan fisik
R_MISSING_DAM,dam_id,INDUK,OPTIONAL,LITTER_PERFORMANCE;GENEALOGY,SAVE_DRAFT;ALL_OTHER_OPS,Lengkapi induk (dam),Catatan silsilah / tes DNA
R_MISSING_SIRE,sire_id,PEJANTAN,OPTIONAL,PEDIGREE_ANALYSIS,SAVE_DRAFT;ALL_OTHER_OPS,Lengkapi pejantan (sire),Catatan kawin / tes DNA
R_MISSING_OWNER,partner_id,PEMILIK,CRITICAL_FOR_FINALIZATION,PARTNER_REPORT;PROFIT_SHARING;OWNERSHIP_TRANSFER,SAVE_DRAFT;INTERNAL_RECORD,Lengkapi pemilik/mitra,Dokumen kepemilikan
R_MISSING_LOCATION,location_id,LOKASI,CONDITIONALLY_REQUIRED,MUTATION;LOCATION_REPORT,SAVE_DRAFT;HEALTH_LOG,Lengkapi lokasi kandang,Konfirmasi fisik lokasi
R_MISSING_WEIGHT,weight,PENIMBANGAN,CONDITIONALLY_REQUIRED,ADG_CALCULATION;WEIGHT_TREND;PRICE_PER_KG,SAVE_DRAFT;HEALTH_LOG,Lengkapi penimbangan aktual,Hasil timbangan
R_MISSING_HEALTH,phys_status_id,KESEHATAN,CONDITIONALLY_REQUIRED,SAFE_TO_SELL;TREATMENT_FINALIZATION,SAVE_DRAFT;RECORD_SYMPTOM,Lengkapi diagnosa/treatment,Pemeriksaan medis
R_MISSING_FINANCIAL,valuation;acquisition_cost,FINANSIAL,CRITICAL_FOR_FINALIZATION,HPP_CALCULATION;INVOICE_POSTING,SAVE_DRAFT;OPERATIONAL_LOG,Lengkapi nilai finansial,Kwitansi / bukti bayar
